Timestamp,Hour,Temp,Conditions,Weather Sentiment
20170111,2:48 AM,44.6,Rain,negative
20170111,2:51 AM,44.1,Rain,negative
20170111,3:03 AM,43,Rain,negative
20170111,3:20 AM,44.1,Rain,negative
20170111,3:51 AM,46,Overcast,negative
20170111,4:11 AM,45,Overcast,negative
20170111,4:51 AM,46,Overcast,negative
20170111,5:51 AM,45,Overcast,negative
20170111,6:39 AM,44.1,Scattered Clouds,neutral
20170111,6:51 AM,43,Partly Cloudy,neutral
20170111,7:51 AM,43,Clear,positive
20170111,8:51 AM,43,Clear,positive
20170111,9:51 AM,44.1,Clear,positive
20170111,10:51 AM,46.9,Clear,positive
20170111,11:51 AM,48,Clear,positive
20170111,12:51 PM,50,Clear,positive
20170111,1:51 PM,50,Clear,positive
20170111,2:51 PM,51.1,Clear,positive
20170111,3:51 PM,51.1,Clear,positive
20170111,4:51 PM,50,Clear,positive
20170111,5:51 PM,46.9,Clear,positive
20170111,6:51 PM,48,Clear,positive
20170111,7:51 PM,48,Overcast,negative
20170111,8:51 PM,50,Overcast,negative
20170111,9:51 PM,48,Rain,negative
20170111,10:51 PM,46,Light Rain,positive
20170111,11:06 PM,46,Rain,negative
20170111,11:27 PM,46,Light Rain,positive
20170111,11:51 PM,46,Light Rain,positive
20170111,11:59 PM,46.9,Light Rain,positive
20170112,12:51 AM,48,Light Rain,positive
20170112,1:51 AM,50,Overcast,negative
20170112,2:51 AM,51.1,Overcast,negative
20170112,3:24 AM,51.1,Overcast,negative
20170112,3:51 AM,52,Overcast,negative
20170112,4:51 AM,53.1,Overcast,negative
20170112,5:42 AM,53.1,Overcast,negative
20170112,5:51 AM,53.1,Overcast,negative
20170112,6:13 AM,54,Overcast,negative
20170112,6:51 AM,54,Overcast,negative
20170112,7:51 AM,54,Overcast,negative
20170112,8:09 AM,54,Overcast,negative
20170112,8:51 AM,55,Overcast,negative
20170112,9:51 AM,55.9,Overcast,negative
20170112,10:51 AM,57.9,Partly Cloudy,neutral
20170112,11:51 AM,60.1,Partly Cloudy,neutral
20170112,12:51 PM,63,Clear,positive
20170112,1:51 PM,64.9,Scattered Clouds,neutral
20170112,2:51 PM,64.9,Clear,positive
20170112,3:51 PM,64.9,Clear,positive
20170112,4:51 PM,64,Clear,positive
20170112,5:51 PM,64,Partly Cloudy,neutral
20170112,6:51 PM,64.9,Clear,positive
20170112,7:51 PM,64,Overcast,negative
20170112,8:51 PM,64.9,Overcast,negative
20170112,9:51 PM,64,Partly Cloudy,neutral
20170112,10:51 PM,63,Overcast,negative
20170113,12:51 AM,61,Overcast,negative
20170113,1:51 AM,60.1,Clear,positive
20170113,2:51 AM,59,Clear,positive
20170113,3:51 AM,57.9,Clear,positive
20170113,4:51 AM,55.9,Clear,positive
20170113,5:23 AM,55,Mostly Cloudy,negative
20170113,5:51 AM,52,Mostly Cloudy,negative
20170113,6:00 AM,51.1,Scattered Clouds,neutral
20170113,6:51 AM,48.9,Clear,positive
20170113,7:51 AM,46.9,Clear,positive
20170113,8:51 AM,46,Clear,positive
20170113,9:51 AM,45,Clear,positive
20170113,10:51 AM,45,Clear,positive
20170113,11:51 AM,46,Clear,positive
20170113,12:51 PM,46,Clear,positive
20170113,1:51 PM,45,Clear,positive
20170113,2:51 PM,44.1,Clear,positive
20170113,3:51 PM,42.1,Clear,positive
20170113,4:51 PM,39.9,Clear,positive
20170113,5:51 PM,37.9,Clear,positive
20170113,6:51 PM,36,Clear,positive
20170113,7:51 PM,35.1,Clear,positive
20170113,8:51 PM,34,Clear,positive
20170113,9:51 PM,33.1,Clear,positive
